"","SRR8832553_OE","SRR8832554_OE","SRR8832555_OE","SRR8832550_CTL","SRR8832551_CTL","SRR8832552_CTL","ENSEMBL"
"ENST00000394815.3",-0.944332312026449,-0.841557586052905,-0.946555623645706,0.858438653374463,1.0117763311511,0.862230537199492,"ENST00000394815"
"ENST00000083182.8",-0.932383786719072,-0.877850982465973,-0.923291104395569,0.814010605389302,0.996424821708749,0.923090446482559,"ENST00000083182"
"ENST00000321867.6",-0.967029079669373,-0.874468056668194,-0.890888303860164,0.970444161872382,0.960021260729943,0.801920017595406,"ENST00000321867"
"ENST00000393085.4",-0.953443089411876,-0.841341448709952,-0.936015486095505,0.799015612416701,1.00225424655525,0.929530165245381,"ENST00000393085"
"ENST00000219789.11",-0.968173432539768,-0.869744791326067,-0.896756245895362,0.833937152186982,0.941421901674891,0.959315415899324,"ENST00000219789"
"ENST00000249330.3",1.04012825204207,0.746389712180481,0.938613654454956,-0.853201162463384,-0.93236075547663,-0.939569700737492,"ENST00000249330"
"ENST00000369448.4",0.839903130628801,0.892776916710354,1.00217095687908,-0.908578278068059,-0.915871214079308,-0.910401512070871,"ENST00000369448"
"ENST00000371711.4",-0.952224298682458,-0.888914695561702,-0.892325516929865,0.979343560664324,0.9451440875481,0.808976862961599,"ENST00000371711"
"ENST00000295628.4",-0.860540973793537,-0.904609793359978,-0.948628264619131,0.892143318297569,1.11837114273714,0.703264570737942,"ENST00000295628"
"ENST00000370053.3",0.803229305294625,0.837010145038587,1.08476284326189,-0.870018325392852,-0.920021159725132,-0.934962808477118,"ENST00000370053"
"ENST00000265087.9",-0.845062766464663,-0.873586570430831,-1.00592177763776,1.05820686665974,0.796780708917948,0.869583538955566,"ENST00000265087"
"ENST00000438166.7",-0.839255644894609,-0.937514918457935,-0.940249038704687,0.909765271558692,1.09321952863601,0.714034801862531,"ENST00000438166"
"ENST00000422749.5",1.13367969730547,0.747581050601496,0.830129329282889,-0.915441164504473,-0.987499422709824,-0.808449489975558,"ENST00000422749"
"ENST00000681657.1",-0.860607031225574,-0.936365018703622,-0.935997255471884,0.99092853459185,0.811050213430483,0.930990557378746,"ENST00000681657"
"ENST00000266732.8",-0.913667284807261,-0.85788277692423,-0.961898836866421,0.900062349529042,0.998039783899177,0.835346765169693,"ENST00000266732"
"ENST00000398431.2",0.938731758704657,0.974461894020297,0.820288838717207,-0.963451673327821,-0.913204484974729,-0.856826333139613,"ENST00000398431"
"ENST00000442011.7",-0.943499877153841,-0.824276777263992,-0.960641413762096,0.92004766135741,1.01810268919411,0.790267717628407,"ENST00000442011"
"ENST00000397041.8",0.990814491822516,0.748956141453031,0.985529878059254,-0.935265179521968,-0.963017665286508,-0.827017666526328,"ENST00000397041"
"ENST00000518547.6",0.788571277610258,0.918495694957701,1.02219358773486,-0.932321225597272,-0.952888936278466,-0.844050398427084,"ENST00000518547"
"ENST00000301071.12",-0.88495213358557,-0.99956339127134,-0.839068884864259,0.81671000125872,0.833863119320217,1.07301128914223,"ENST00000301071"
"ENST00000360612.5",1.01122958882382,0.944822086012657,0.769669175792174,-0.806033613847909,-0.955070038856505,-0.964617197924237,"ENST00000360612"
"ENST00000423777.7",-0.859316363257645,-0.940051057996112,-0.928792986132639,1.05592607938445,0.804029190314667,0.868205137687276,"ENST00000423777"
"ENST00000327741.9",-0.76419303873186,-0.932300673869472,-1.02310316102259,0.757537077793786,1.00732276313595,0.954737032694185,"ENST00000327741"
"ENST00000290271.7",-0.871725586120664,-0.977306188355282,-0.871679081670994,0.790787175050187,0.828039176921435,1.10188450417532,"ENST00000290271"
"ENST00000313234.9",-0.797990088379671,-0.952223213571064,-0.953242323012909,0.752879830973478,0.777031951227599,1.17354384276257,"ENST00000313234"
"ENST00000284031.13",0.827342530405946,0.819270895962961,1.07756319813848,-0.895144259727018,-0.846714453069109,-0.982317911711255,"ENST00000284031"
"ENST00000375344.8",-0.905195308110239,-0.859136727778004,-0.960221286674232,0.758231776207169,0.904563764662824,1.06175778169248,"ENST00000375344"
"ENST00000325404.3",0.984592431982392,0.710503447654801,1.02716535268042,-0.900386671181395,-0.924799389134283,-0.897075172001932,"ENST00000325404"
"ENST00000262713.7",-0.978828563602783,-0.890208840528916,-0.867530686927069,0.900548418530139,0.931082660865752,0.904937011662877,"ENST00000262713"
"ENST00000242719.4",0.90996652421339,0.904398075984667,0.920534660480855,-0.992823868798668,-0.829035232524722,-0.913040159355521,"ENST00000242719"
"ENST00000266085.7",-0.978546271671921,-0.881400002715866,-0.859137316080104,0.705322390233018,0.972474629862167,1.04128657037271,"ENST00000266085"
"ENST00000332290.4",-0.827276538546302,-0.966174681012841,-0.923498800800206,0.948714293693636,1.06561493751594,0.702620789149773,"ENST00000332290"
"ENST00000260356.6",-0.861582549305766,-0.950128093211278,-0.890233892648872,1.11761189046432,0.96290652171946,0.621426122982136,"ENST00000260356"
"ENST00000374557.4",-0.955246609070901,-0.850423271194243,-0.919204346394757,0.864280380829934,1.07427997570437,0.786313870125593,"ENST00000374557"
"ENST00000280098.9",-0.947027707925338,-0.875349135079381,-0.913901113533527,0.849287964512261,0.947463947458085,0.939526044567899,"ENST00000280098"
"ENST00000357244.7",-0.905331237796992,-0.803736473796735,-1.00950085532012,0.770597298283854,1.08392840542651,0.864042863203479,"ENST00000357244"
"ENST00000237853.9",0.897712701984334,0.832542398612062,1.00303343736725,-0.856834907074951,-0.948321623830304,-0.928132007058386,"ENST00000237853"
"ENST00000361170.7",-1.00257961210517,-0.870894105249337,-0.853052317421445,0.993365169895437,0.966534597027922,0.76662626785259,"ENST00000361170"
"ENST00000221930.6",-0.903156114498456,-0.899135754114217,-0.924704438045336,1.06837205004747,0.873184563533475,0.785439693077062,"ENST00000221930"
"ENST00000330374.7",-0.89059737225018,-0.905304875172765,-0.917932559251957,0.680082413363522,0.93299314539259,1.10075924791879,"ENST00000330374"
"ENST00000355710.8",0.716131561737617,0.752934364551386,1.22350817611904,-0.943317485124599,-0.916317261818539,-0.832939355464902,"ENST00000355710"
"ENST00000398529.7",-0.958355427788938,-0.837757591237417,-0.938286499298832,0.951465496251416,0.939540306607695,0.843393715466076,"ENST00000398529"
"ENST00000272895.12",1.10165339374358,0.905811372156217,0.698839965975958,-0.862395575912204,-0.79202836237388,-1.05188079358968,"ENST00000272895"
"ENST00000303575.9",-0.961938149692383,-0.967979032665156,-0.799805611233749,0.816932003951601,0.931491869161353,0.981298920478334,"ENST00000303575"
"ENST00000307662.5",-0.932158906303379,-0.838641193393444,-0.958989650879347,0.805008738172143,0.90046502574295,1.02431598666108,"ENST00000307662"
"ENST00000264893.11",-0.970568424647437,-0.856614053419845,-0.890463801224893,1.00961062977336,1.01723087801219,0.690804771506628,"ENST00000264893"
"ENST00000471229.7",0.751222276088485,1.0851063287965,0.883474308420117,-0.980136810529873,-0.913394798067234,-0.826271304707997,"ENST00000471229"
"ENST00000257770.8",-0.891989906734274,-0.97799337955877,-0.865086514171689,0.93228894029513,0.849736796484971,0.953044063684631,"ENST00000257770"
"ENST00000367558.6",0.715844265384157,0.905831368993222,1.09581847260229,-0.922794503244032,-0.943150264345003,-0.851549339390632,"ENST00000367558"
"ENST00000310447.10",-0.950802858756592,-0.885085529345329,-0.900114013034389,0.980910782059767,0.873481635240038,0.881609983836507,"ENST00000310447"
"ENST00000250383.11",-0.96737802200882,-0.82379754277152,-0.937176271341019,0.966259708774722,0.778342972036925,0.983749155309711,"ENST00000250383"
"ENST00000259874.6",0.98216452872475,0.701817460549387,1.03069469881122,-1.03039536884607,-0.855503502069882,-0.828777817169406,"ENST00000259874"
"ENST00000371429.4",-0.884677105384812,-0.977721386012188,-0.872524984124879,0.941791629029551,0.948887432482835,0.844244414009493,"ENST00000371429"
"ENST00000266744.4",0.784639215443095,0.71781675588953,1.19421875451854,-0.929565645714487,-0.97707574799976,-0.790033332136922,"ENST00000266744"
"ENST00000560153.2",0.943594891598881,0.680852947477745,1.08461457912152,-0.968335187655485,-0.9623975166019,-0.778329713940765,"ENST00000560153"
"ENST00000307365.4",-0.830387838931045,-0.867071226144127,-1.03395596303952,0.938019110280152,0.924664742248646,0.868731175585893,"ENST00000307365"
"ENST00000295228.4",-0.894233716841002,-0.773199604447549,-1.04452882343946,1.0808833919972,0.896007110429184,0.735071642301626,"ENST00000295228"
"ENST00000262138.4",-0.851958146430897,-0.874630092354165,-0.983455432785854,0.70424422174225,0.871695133381245,1.13410431644742,"ENST00000262138"
"ENST00000269593.5",-0.964827199177344,-0.805468696835701,-0.952078518990012,0.74030877587823,0.963410679156529,1.0186549599683,"ENST00000269593"
"ENST00000271588.9",-0.900461150842341,-0.960615254437182,-0.865503535893477,0.988204264255051,0.991189914630512,0.747185762287435,"ENST00000271588"
"ENST00000453464.3",-0.841303095022107,-0.90445477617091,-0.977959606906799,0.738210363436932,0.963668547855742,1.02183856680714,"ENST00000453464"
"ENST00000272542.8",-0.857943036776563,-0.847185226344016,-1.00958118539127,0.815853114394624,1.12047315374199,0.778383180375236,"ENST00000272542"
"ENST00000555004.3",-0.838909264870893,-0.890966033780438,-0.967462511331049,1.09291210219226,1.00822167907633,0.596204028713789,"ENST00000555004"
"ENST00000377411.5",0.963928582265357,0.962075084252297,0.805260183808605,-0.827946600886742,-0.950014392611399,-0.953302856828119,"ENST00000377411"
"ENST00000394976.4",-0.828598209866807,-0.981804267402288,-0.891976926956964,0.920628178145572,1.13478911274588,0.646962113334609,"ENST00000394976"
"ENST00000361729.3",-0.912694118212972,-0.904386376670592,-0.909173888745862,0.821506094096954,1.08193548625733,0.822812803275145,"ENST00000361729"
"ENST00000256383.11",-0.996881163333918,-0.935575388566675,-0.792558659399584,1.001244938318,0.77646263830377,0.94730763467841,"ENST00000256383"
"ENST00000458659.3",-0.851053721371769,-0.922080836554239,-0.942767697010829,1.09058914538877,0.927672917952032,0.697640191596038,"ENST00000458659"
"ENST00000369838.6",-0.899723685181923,-0.899723685181923,-0.915585611071516,0.982558187049798,1.06186781649776,0.670606977887799,"ENST00000369838"
"ENST00000301258.5",-0.885376327437259,-0.861526501246163,-0.986370945651465,0.832369110556569,0.924036451787632,0.976868211990686,"ENST00000301258"
"ENST00000371194.7",1.00375245415332,0.749445898791849,0.974532186738694,-0.931403338774613,-0.907935671162589,-0.88839152974666,"ENST00000371194"
"ENST00000336219.4",-0.951251254165995,-0.818326813783007,-0.963500170715514,0.933341163015774,0.956777241071643,0.842959834577098,"ENST00000336219"
"ENST00000299413.7",-0.940186050104376,-0.762294312266929,-1.00780012869088,1.03184127438268,0.990911657771716,0.687527558907787,"ENST00000299413"
"ENST00000309007.9",-0.848922865568203,-0.952427386483734,-0.919597560410247,0.786868890976367,0.83091620809203,1.10316271339379,"ENST00000309007"
"ENST00000379638.9",-0.927135265500298,-0.818088690092062,-0.958956994154386,0.629502876923118,1.07692535342582,0.997752719397806,"ENST00000379638"
"ENST00000352251.8",-0.996385987582895,-0.865182502060009,-0.838563173759106,0.727631610462864,1.18707335121728,0.785426701721871,"ENST00000352251"
"ENST00000549336.6",-0.95318117116228,-0.841945712279979,-0.940408259001926,0.961763036549914,0.880424682426135,0.893347423468135,"ENST00000549336"
"ENST00000166345.8",-1.0298766250019,-0.814751778512141,-0.87098087269691,0.799902140434977,0.812740427927863,1.10296670784811,"ENST00000166345"
"ENST00000393078.5",-0.925213089345501,-0.91957858750422,-0.838444866735333,0.674915554303184,0.755988615978955,1.25233237330292,"ENST00000393078"
"ENST00000499247.3",0.935935186270869,1.0832673324799,0.682013583973884,-0.970375221103608,-1.01688254214263,-0.713958339478406,"ENST00000499247"
"ENST00000559447.8",-0.848492496236607,-0.973617626261135,-0.90866399391982,1.02064786522247,0.8902127025581,0.819913548636994,"ENST00000559447"
"ENST00000264220.6",-0.866428003753383,-0.837852698027431,-0.997879324160813,0.810583715392133,1.17542460290176,0.71615170764773,"ENST00000264220"
"ENST00000249014.5",-0.816936004732779,-0.977886264630739,-0.938923245525865,0.919334258228235,0.949381297427604,0.865029959233542,"ENST00000249014"
"ENST00000315691.8",0.784979186369632,0.960700000156295,0.983408487468094,-0.857738352628531,-0.876169574410944,-0.995179746954548,"ENST00000315691"
"ENST00000397752.8",0.825580814841527,0.952078550475382,0.951948996797101,-0.965594047441864,-0.788437013198091,-0.975577301474056,"ENST00000397752"
"ENST00000359930.8",0.891192524457374,0.903505390806104,0.930956743846622,-0.844767959994828,-1.08234673312178,-0.798539965993493,"ENST00000359930"
"ENST00000289382.8",-0.874499897274659,-0.892359548465735,-0.937091048486725,0.617891259510299,1.0829893397161,1.00306989500072,"ENST00000289382"
"ENST00000259241.7",0.795002450262704,0.69634850295478,1.20655386821027,-0.919302804011614,-0.904588519522244,-0.874013497893893,"ENST00000259241"
"ENST00000673974.1",-0.864697115423547,-0.817287715489722,-1.03814819222286,0.793149754076998,0.861341676960118,1.06564159209902,"ENST00000673974"
"ENST00000421196.7",1.1349877004405,0.922470468393657,0.636581055414117,-1.02867468659109,-0.905909935054897,-0.759454602602286,"ENST00000421196"
"ENST00000261667.8",-0.870023236431371,-0.94678999258708,-0.896724716833357,0.80215697374299,1.14593853391856,0.76544243819026,"ENST00000261667"
"ENST00000303383.8",-0.850834138177077,-0.918266065920908,-0.947039471601245,0.809931559953244,0.775366725492292,1.13084139025369,"ENST00000303383"
"ENST00000373883.4",0.759329356727109,0.77805175704906,1.17128780526032,-0.912324990366987,-0.911894674192856,-0.88444925447665,"ENST00000373883"
"ENST00000381809.8",-0.950812545605691,-0.842116945456518,-0.896762120902808,0.590699684770346,0.925394031691105,1.17359789550357,"ENST00000381809"
"ENST00000636615.1",0.929092014699001,0.644305374902073,1.13048785366646,-0.966075372645072,-0.855439684483883,-0.882370186138586,"ENST00000636615"
"ENST00000261636.13",-0.866714254671343,-0.917743806024488,-0.93701050040291,0.70907637190791,1.0275685842919,0.984823604898931,"ENST00000261636"
"ENST00000369026.3",-0.960889024785508,-0.914128421154884,-0.831825213997893,0.668997430755536,1.13109251615153,0.906752713031219,"ENST00000369026"
"ENST00000359534.4",-1.01731756312939,-0.828536984404345,-0.878878472064356,0.763512562843498,0.977463885398544,0.983756571356045,"ENST00000359534"
"ENST00000254322.3",-0.985755881266421,-0.798541246261588,-0.897529314652862,0.879245714202944,0.595237522535522,1.20734320544241,"ENST00000254322"
"ENST00000361786.7",-1.01317587874067,-0.770862312690217,-0.932455987415797,0.787917518580009,1.0852300140071,0.843346646259568,"ENST00000361786"
"ENST00000648791.1",-0.872265695857337,-0.84662051407815,-0.927026372440993,0.661322954900993,0.634270847814487,1.350318779661,"ENST00000648791"
"ENST00000323116.10",-0.995666576328922,-0.788143977978595,-0.944190099685833,0.963723441282431,0.808374517904444,0.955902694806476,"ENST00000323116"
"ENST00000380191.9",-0.943329759307875,-0.802990838005522,-0.958978256463124,0.65397670155962,0.941850066558409,1.10947208565849,"ENST00000380191"
"ENST00000339594.9",-0.873590643609229,-1.08046522116696,-0.767889207188942,0.971129013536194,0.830628220306324,0.920187838122609,"ENST00000339594"
"ENST00000392491.6",1.1537575470819,0.751407452122272,0.790403392099119,-1.01945853186188,-0.704778876806957,-0.971330982634457,"ENST00000392491"
"ENST00000369800.6",-0.828208281995131,-0.921970527929935,-0.973300815075953,1.03049694664954,0.950673340938648,0.742309337412838,"ENST00000369800"
"ENST00000378555.8",0.735460229145527,0.713610360735809,1.23959618065379,-0.868548974947016,-0.945187920798304,-0.874929874789812,"ENST00000378555"
"ENST00000014914.6",-0.80726523283163,-0.860903306356931,-1.00505617261469,0.612991884424595,0.807639753138872,1.25259307423978,"ENST00000014914"
"ENST00000207549.9",-0.994516871533612,-0.946844344290894,-0.765288125768,1.06371669909395,0.975818215719146,0.667114426779407,"ENST00000207549"
"ENST00000331243.4",0.679719683652491,0.829989988095474,1.18997413717636,-0.877496015425629,-0.873173653525366,-0.94901413997333,"ENST00000331243"
"ENST00000382011.9",-0.865730988006989,-0.917184630241733,-0.947690445752196,0.782889821259064,0.946939019124507,1.00077722361735,"ENST00000382011"
"ENST00000274170.8",0.740871164842539,0.930007337338735,1.05096330175312,-0.911366530612573,-0.983253972109052,-0.827221301212764,"ENST00000274170"
"ENST00000621441.5",-0.786213160839904,-0.924418803978924,-1.00820887698616,0.909039234612516,1.05785560439612,0.751946002796357,"ENST00000621441"
"ENST00000301019.9",-0.898251443599194,-0.781055172683541,-1.03193916701868,0.706374347219836,1.07128069189825,0.933590744183334,"ENST00000301019"
"ENST00000337435.9",-0.886222014219083,-0.867346089504875,-0.964069296987065,0.772293083226329,1.12145527263085,0.823889044853848,"ENST00000337435"
"ENST00000303887.10",-0.925022336720362,-0.794584834417615,-0.977593389429899,0.742658545126365,0.758615087708738,1.19592692773277,"ENST00000303887"
"ENST00000430262.3",-0.807211407587359,-0.943287163056278,-0.961622469797595,0.703933978861118,1.10890434442663,0.899282717153486,"ENST00000430262"
"ENST00000698248.1",1.06135781383302,0.873869676692143,0.787976055306275,-0.983851422345193,-0.934207408578671,-0.805144714907572,"ENST00000698248"
"ENST00000404251.1",-0.85160797989188,-0.889530741340162,-0.96344920018274,0.9768433083477,1.0967789127169,0.630965700350184,"ENST00000404251"
"ENST00000257836.4",-0.9039201892254,-0.896009125329483,-0.908023510279107,0.688976872955895,1.15572094933819,0.863255002539904,"ENST00000257836"
"ENST00000217026.5",-0.960943858465123,-0.890751211137559,-0.851848848409825,0.933476175327262,0.64053945070387,1.12952829198137,"ENST00000217026"
"ENST00000354666.4",0.77267038560646,0.820841856030803,1.11757811384475,-0.99040543192449,-0.957648832035936,-0.763036091521591,"ENST00000354666"
"ENST00000462833.6",0.871931314512236,0.906145885943914,0.932954780713539,-0.878789061890048,-0.69543670667663,-1.13680621260301,"ENST00000462833"
"ENST00000671844.1",1.07837766056108,0.634805882976979,0.981244631225104,-0.774528147659323,-1.07907217202649,-0.840827855077353,"ENST00000671844"
"ENST00000249700.9",-1.00021383866076,-0.890813196361289,-0.837539984830051,1.00093502136398,0.935662439162945,0.791969559325171,"ENST00000249700"
"ENST00000425460.6",-0.759038284603428,-1.11196189915146,-0.823706912290486,0.919368425656008,1.09714074207819,0.678197928311173,"ENST00000425460"
"ENST00000380332.5",0.959066423133644,0.831373971664168,0.932292199438431,-1.02222613031209,-0.970737238590531,-0.729769225333617,"ENST00000380332"
"ENST00000247225.7",-0.952253833874438,-0.83876903778245,-0.908605835377519,0.745653307655691,1.19959249202364,0.754382907355074,"ENST00000247225"
"ENST00000262644.9",-0.886509591382448,-0.921721173714004,-0.903505499934353,0.765206440579002,1.15789773495634,0.788632089495462,"ENST00000262644"
"ENST00000292591.12",-0.865100237411395,-1.07185764197773,-0.775026881711772,0.753798772207215,0.887995972931514,1.07019001596217,"ENST00000292591"
"ENST00000373202.8",-0.999921670241313,-0.844892386529,-0.869001527673529,0.683047282546355,0.979423649850567,1.05134465204692,"ENST00000373202"
"ENST00000395842.3",-0.894167577236001,-0.952601744441663,-0.847816727320039,1.19298633557179,0.859436431220673,0.64216328220524,"ENST00000395842"
"ENST00000415428.5",-0.92795071596614,-0.81064844581517,-0.921949819138626,1.13410001110676,1.0636899846827,0.462758985130471,"ENST00000415428"
"ENST00000450894.7",-0.780736572249982,-0.953694797910569,-0.959855450232043,0.735107173069522,0.755961615793243,1.20321803152983,"ENST00000450894"
"ENST00000313766.6",-0.929621223869173,-0.839127130861108,-0.952816336895115,0.964844491037778,0.720478430888664,1.03624176969895,"ENST00000313766"
"ENST00000374399.9",-0.923048527154837,-0.843527883431541,-0.937347319039143,0.88829984109467,1.15327117702125,0.662352711509597,"ENST00000374399"
"ENST00000370996.5",0.700653063356151,1.00618204207204,1.01259489393214,-0.955751537523489,-0.917844119140995,-0.845834342695846,"ENST00000370996"
"ENST00000221132.8",-0.874355673533332,-0.892819638482963,-0.938355552041584,1.17244577433194,0.830025091019948,0.703059998705993,"ENST00000221132"
"ENST00000300456.5",-0.95421208842348,-0.996599047167958,-0.776957285486297,0.967782321769644,0.94011313286875,0.81987296643934,"ENST00000300456"
"ENST00000392097.5",0.785124608810201,0.843987309003591,1.08779147666224,-0.986308013492772,-0.771247729401453,-0.959347651581807,"ENST00000392097"
"ENST00000323482.9",0.821657003373903,0.731251153508231,1.156582545155,-0.951667732686022,-0.909127923225859,-0.848695046125259,"ENST00000323482"
"ENST00000448926.5",-0.93768523072665,-0.926520732740007,-0.825632668427885,0.602283473381535,0.904228690907254,1.18332646760575,"ENST00000448926"
"ENST00000297632.8",-0.90400130982211,-0.830572721456363,-0.996980439377401,0.950461303772545,0.821853551833368,0.95923961504996,"ENST00000297632"
"ENST00000372764.4",-0.892390479497378,-0.802387516433009,-0.98606190893694,0.790766056731116,1.24168055297007,0.648393295166139,"ENST00000372764"
"ENST00000395384.9",1.13828973061494,0.749121662860957,0.824507387730973,-0.96596015189994,-0.927915679212076,-0.818042950094852,"ENST00000395384"
"ENST00000455354.1",0.763691342879736,1.08090538482976,0.852805226747661,-1.12488779957095,-0.884667904606859,-0.687846250279355,"ENST00000455354"
"ENST00000303221.10",-0.917168869608531,-0.790035017526002,-1.00997525914219,0.826851375995476,0.796430610298538,1.09389715998271,"ENST00000303221"
"ENST00000337352.10",-0.776682113894542,-0.91812584299653,-0.993611141109465,0.587562487464894,0.965229112343889,1.13562749819175,"ENST00000337352"
"ENST00000007699.10",-0.912045675696707,-0.780317913489179,-1.00637519447609,1.13223136067734,0.920302972781462,0.64620445020318,"ENST00000007699"
